,cell.ID,nucleus.x,nucleus.y,CD15.score.normalized,CK.score.normalized,CD3.score.normalized,CD11c.score.normalized,CD20.score.normalized,CD163.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.necrosis,in.ROI.tumor_tissue
101,173,9613.96,45745.37,0.09,1.15,0.35,0.23,0.13,0.0,stroma,False,False,True
102,174,9701.62,45446.97,0.11,0.34,0.83,0.0,0.08,0.04,stroma,False,False,True
103,175,9954.04,45805.55,0.11,0.09,0.27,0.0,0.13,0.25,stroma,False,False,True
104,176,9547.92,45504.98,0.03,0.29,0.51,0.0,0.05,0.0,stroma,False,False,True
105,177,9689.18,45592.57,0.0,0.12,0.24,0.09,0.15,0.31,stroma,False,False,True
106,178,9790.36,45620.84,0.4,0.36,0.68,0.4,0.0,0.0,stroma,False,False,True
107,179,9633.89,45749.46,0.0,1.99,3.04,0.19,0.12,0.25,tumor,False,False,True
108,180,9482.66,45491.04,0.0,0.0,0.11,0.14,0.01,0.0,stroma,False,False,False
109,181,9534.48,45711.4,0.03,3.47,0.09,0.71,0.36,0.44,tumor,False,False,True
110,182,9471.31,45739.21,0.12,0.11,0.8,0.0,0.11,0.0,stroma,False,False,True
111,183,9868.88,45813.93,0.0,0.04,0.3,0.31,0.07,0.0,stroma,False,False,True
112,184,9924.85,45823.37,0.0,0.45,0.77,0.02,0.05,1.05,stroma,False,False,True
113,185,9697.83,45757.39,0.51,1.98,0.09,0.93,0.17,0.2,stroma,False,False,True
114,186,9695.4,45482.43,0.39,0.66,0.65,0.2,0.03,0.0,stroma,False,False,True
115,187,9842.45,45699.19,0.09,0.11,0.53,0.0,0.06,0.31,stroma,False,False,True
116,188,9504.28,45451.44,0.42,0.91,0.36,0.01,0.02,0.0,stroma,False,False,False
117,189,9805.83,45820.28,0.0,0.0,0.08,0.66,0.09,2.7,stroma,False,False,True
118,190,9831.56,45594.74,0.0,0.0,0.4,0.04,0.05,0.0,stroma,False,False,True
119,191,9869.61,45469.17,0.23,0.66,0.49,0.32,0.01,0.0,stroma,False,False,True
120,192,9954.83,45574.57,0.43,1.14,3.25,0.23,0.15,0.38,tumor,False,False,True
121,193,9526.0,45620.1,0.32,0.46,0.23,0.52,0.14,0.0,stroma,False,False,True
122,194,9926.33,45561.15,0.35,0.84,0.59,0.0,0.07,0.19,tumor,False,False,True
123,195,9723.82,45348.77,0.0,0.64,0.18,0.11,0.13,0.49,stroma,False,False,True
124,196,9646.87,45762.34,0.0,1.84,0.0,0.27,0.13,0.0,tumor,False,False,True
125,197,9832.96,45451.89,0.0,0.06,0.15,0.0,0.05,0.26,stroma,False,False,True
126,198,9478.5,45677.81,0.4,1.16,0.26,0.43,0.22,1.46,stroma,False,False,True
127,199,9797.13,45541.67,0.33,0.4,0.52,0.0,0.41,0.72,stroma,False,False,True
128,200,9747.12,45345.95,0.0,0.0,0.81,0.3,0.02,0.0,stroma,False,False,True
129,201,9887.91,45467.29,0.0,0.0,0.33,0.04,0.05,0.31,stroma,False,False,True
130,202,9906.42,45614.42,0.04,1.26,0.56,0.0,0.23,0.39,stroma,False,False,True
131,203,9654.71,45764.86,0.04,0.49,0.05,0.26,0.16,0.0,tumor,False,False,True
132,204,9750.4,45374.57,0.15,0.81,0.33,0.08,0.18,0.0,stroma,False,False,True
133,205,9602.89,45423.55,0.0,1.15,0.17,0.0,0.07,0.0,stroma,False,False,True
134,206,9488.52,45558.09,0.05,0.0,0.49,0.3,0.07,0.99,stroma,False,False,True
135,207,9589.03,45586.83,0.25,3.66,0.06,0.32,0.52,1.16,tumor,False,False,True
136,208,9452.02,45644.42,0.34,0.32,0.05,0.09,0.08,0.34,stroma,False,False,False
137,209,9944.57,45728.7,0.13,1.53,0.33,0.08,0.06,0.06,stroma,False,False,True
138,210,9939.9,45441.66,0.24,0.57,0.56,0.31,0.07,0.0,stroma,False,False,True
139,211,9755.58,45411.51,0.08,0.43,0.12,0.38,0.06,0.39,stroma,False,False,True
140,212,9650.09,45401.45,0.25,0.0,0.42,0.34,0.03,1.35,stroma,False,False,True
141,213,9756.28,45300.0,0.06,0.05,0.17,0.0,0.03,0.36,stroma,False,False,True
142,214,9962.39,45595.29,0.4,1.71,0.6,0.83,0.22,0.43,tumor,False,False,True
143,215,9665.11,45636.11,0.0,1.16,0.03,0.0,0.08,0.07,stroma,False,False,True
144,216,9875.44,45586.7,0.0,0.71,0.58,0.16,0.06,0.29,stroma,False,False,True
145,217,9897.82,45491.68,0.11,0.0,0.0,0.14,0.06,0.0,stroma,False,False,True
146,218,9778.08,45615.62,0.13,1.21,0.82,0.02,0.02,0.0,stroma,False,False,True
147,219,9638.7,45749.31,0.0,0.93,0.32,0.22,0.12,0.0,tumor,False,False,True
148,220,9451.13,45632.08,0.0,1.39,0.0,0.53,0.14,0.4,stroma,False,False,False
149,221,9866.32,45312.87,0.52,0.46,0.36,0.21,0.08,0.33,stroma,False,False,True
150,222,9544.3,45505.5,0.0,0.0,0.53,0.45,0.07,0.0,stroma,False,False,True
151,223,9607.62,45717.62,0.05,0.14,0.27,0.06,0.12,0.45,stroma,False,False,True
152,224,9498.4,45749.71,0.54,1.03,0.51,0.48,0.04,0.51,stroma,False,False,True
153,225,9967.52,45718.35,0.22,1.99,0.56,0.06,0.32,0.0,stroma,False,False,True
154,226,9795.35,45630.32,0.03,0.66,1.05,0.0,0.03,0.24,stroma,False,False,True
155,227,9739.06,45437.66,0.14,0.0,0.63,0.08,0.0,0.23,stroma,False,False,True
156,228,9661.78,45735.54,0.0,0.48,0.38,0.23,0.03,0.79,stroma,False,False,True
157,229,9689.87,45459.87,0.43,2.26,0.27,0.34,0.16,0.33,stroma,False,False,True
158,230,9785.61,45818.19,0.21,0.0,0.48,0.35,0.15,0.42,stroma,False,False,True
159,231,9928.17,45788.37,0.18,0.68,0.41,0.2,0.04,0.11,stroma,False,False,True
160,232,9569.21,45755.55,0.0,0.73,0.41,0.38,0.2,0.24,stroma,False,False,True
161,233,9915.7,45751.82,0.0,0.0,0.7,0.16,0.03,0.6,stroma,False,False,True
162,234,9965.92,45659.79,0.0,0.53,0.13,0.0,0.07,0.2,stroma,False,False,True
163,235,9461.87,45682.86,0.67,0.32,0.0,0.0,0.15,1.86,stroma,False,False,False
164,236,9584.95,45621.19,0.05,0.3,0.23,0.08,0.14,0.3,stroma,False,False,True
165,237,9682.53,45796.33,0.38,3.47,0.06,0.26,0.17,1.03,tumor,False,False,True
166,238,9625.2,45761.47,0.03,0.0,0.35,0.5,0.08,0.01,stroma,False,False,True
167,239,9768.42,45400.35,0.54,0.02,0.28,0.1,0.04,0.27,stroma,False,False,True
168,240,9597.72,45571.85,0.21,0.46,0.18,0.42,0.13,0.12,stroma,False,False,True
169,241,9606.72,45574.13,0.19,0.17,0.28,0.0,0.12,0.24,stroma,False,False,True
170,242,9795.75,45495.87,0.2,0.17,0.62,0.09,0.06,0.41,stroma,False,False,True
171,243,9786.58,45724.43,0.31,0.51,0.8,0.0,0.06,0.0,stroma,False,False,True
172,244,9926.62,45790.55,0.0,1.07,0.59,0.1,0.09,0.0,stroma,False,False,True
173,245,9894.78,45812.96,0.05,0.11,0.44,0.17,0.07,0.26,stroma,False,False,True
174,246,9498.24,45640.5,0.13,0.86,0.3,0.4,0.18,0.0,tumor,False,False,True
175,247,9517.83,45677.26,0.11,0.25,0.08,0.0,0.27,0.61,stroma,False,False,True
176,248,9672.75,45723.5,0.03,0.93,0.66,0.0,0.37,0.27,stroma,False,False,True
