,cell.ID,nucleus.x,nucleus.y,CD4.score.normalized,CK.score.normalized,CD3.score.normalized,CD56.score.normalized,CD8.score.normalized,FOXP3.score.normalized,tissue.type,in.ROI.adipose_tissue,in.ROI.tumor_tissue
126,515,14996.97,38410.44,0.0,0.0,0.0,0.08,0.22,0.0,stroma,False,True
127,516,14707.35,38472.53,0.0,0.0,0.33,0.05,0.0,0.08,stroma,False,True
128,517,14549.41,38515.82,0.13,0.04,0.11,0.11,0.0,0.17,stroma,False,True
129,518,14800.47,38519.28,0.0,0.49,2.59,0.38,2.58,0.19,stroma,False,True
130,519,14487.83,38600.87,2.55,1.36,1.64,0.68,1.98,6.93,tumor,False,True
131,520,14797.23,38150.37,0.0,0.26,0.02,0.17,0.47,0.0,stroma,False,True
132,521,14477.51,38503.69,1.03,0.98,0.16,0.21,0.35,0.13,tumor,False,True
133,522,14732.44,38558.46,0.0,0.0,0.36,0.14,0.21,0.0,stroma,False,True
134,523,14934.63,38635.17,0.0,0.0,0.01,0.01,0.27,0.12,stroma,False,True
135,524,14751.83,38474.93,1.29,0.28,3.17,0.32,0.89,0.0,stroma,False,True
136,525,14750.47,38241.22,0.26,0.34,0.62,0.16,0.0,0.4,stroma,False,True
137,526,14542.05,38490.76,0.0,0.45,0.0,0.22,0.8,0.0,stroma,False,True
138,527,14766.82,38427.64,1.35,0.37,2.04,0.2,0.93,0.39,stroma,False,True
139,528,14449.66,38083.62,0.0,0.14,0.13,0.18,0.14,0.0,stroma,False,True
140,529,14814.43,38604.78,0.0,0.05,0.38,0.14,0.8,0.0,stroma,False,True
141,530,14572.38,38570.69,0.0,2.34,0.0,0.22,0.0,0.21,tumor,False,True
142,531,14786.57,38557.69,0.0,0.25,0.37,0.03,0.28,0.12,stroma,False,True
143,532,14756.82,38582.83,0.13,0.09,0.03,0.11,0.03,0.0,stroma,False,True
144,533,14785.7,38356.79,0.78,0.27,2.28,0.38,0.41,0.13,stroma,False,True
145,534,14792.92,38106.32,0.43,0.11,2.66,0.26,0.24,0.07,stroma,False,True
146,535,14656.45,38332.14,0.0,0.0,0.17,0.09,0.6,0.0,stroma,False,True
147,536,14836.31,38345.02,1.01,0.33,6.69,0.41,3.12,0.22,stroma,False,True
148,537,14818.72,38108.4,0.0,0.14,0.59,0.1,0.24,0.0,stroma,False,True
149,538,14866.98,38290.06,0.21,0.34,1.01,0.16,0.0,0.0,stroma,False,True
150,539,14964.21,38268.69,0.16,0.33,0.23,0.16,0.06,0.05,stroma,False,True
151,540,14579.14,38208.51,0.03,0.36,0.09,0.05,0.0,0.01,stroma,False,True
152,541,14933.06,38083.52,0.13,0.34,0.03,0.1,0.32,0.02,stroma,False,True
153,542,14546.74,38378.15,0.0,0.06,0.06,0.09,0.01,0.0,stroma,False,True
154,543,14467.4,38346.1,0.52,0.16,0.18,0.07,0.44,0.0,stroma,False,True
155,544,14903.87,38298.9,0.84,0.44,1.5,0.17,0.05,0.2,stroma,False,True
156,545,14977.74,38328.8,0.38,0.15,1.8,0.27,1.43,0.92,stroma,False,True
157,546,14993.28,38120.78,0.38,0.14,0.7,0.19,0.58,0.0,stroma,False,True
158,547,14497.4,38097.47,0.0,0.13,0.18,0.0,0.49,0.05,stroma,False,True
159,548,14872.28,38215.45,0.24,0.29,0.52,0.16,1.44,0.0,stroma,False,True
160,549,14594.62,38519.35,1.36,0.27,0.73,0.32,0.39,0.14,stroma,False,True
161,550,14604.38,38287.55,0.36,0.01,0.19,0.0,0.0,0.01,stroma,False,True
162,551,14732.29,38290.45,0.34,0.3,0.65,0.14,0.04,0.0,stroma,False,True
163,552,14583.07,38540.28,0.94,3.28,4.29,0.31,0.99,0.0,tumor,False,True
164,553,14808.27,38261.49,0.43,0.31,0.51,0.17,0.0,0.09,stroma,False,True
